site,name,prov,type,lon,lat,alt,I,moveTimes,tag,period_date_begin,period_date_end,date_begin,date_end,n_all,n_period
50136,漠河,黑龙江,基准站,122.36666666666666,53.46666666666667,296.0,3,5,3,1974-07-01,1996-12-31,1957-04-01,2018-12-31,22555,8220
50137,北极村,黑龙江,一般站,122.36666666666666,53.46666666666667,296.0,6,2,1,2002-01-01,2017-08-31,2002-01-01,2018-12-31,6209,5722
50246,塔河,黑龙江,基本站,124.71666666666667,52.35,361.9,11,4,4,1995-01-01,2018-12-31,1960-12-01,2018-12-31,21215,8766
50247,呼中,黑龙江,基本站,123.56666666666666,52.03333333333333,514.5,14,3,3,1995-01-01,2018-12-31,1974-01-01,2018-12-31,16436,8766
50349,新林,黑龙江,基本站,124.33333333333333,51.7,494.6,16,3,2,1981-06-01,2010-12-31,1972-01-01,2018-12-31,17167,10806
50353,呼玛,黑龙江,基本站,126.65,51.71666666666667,177.4,18,2,1,1954-01-01,2012-12-31,1954-01-01,2018-12-31,23741,21550
50425,额尔古纳市,内蒙古,基本站,120.18333333333334,50.25,581.4,22,3,3,1982-04-01,2018-12-31,1957-01-01,2018-12-31,22645,13424
50431,根河市,内蒙古,一般站,121.51666666666667,50.78333333333333,979.9,25,3,2,1982-04-01,2004-12-31,1956-12-01,2018-12-31,22676,8311
50434,图里河,内蒙古,基准站,121.68333333333334,50.483333333333334,732.6,30,3,3,1982-04-01,2018-12-31,1957-01-01,2018-12-31,22645,13424
50442,加格达奇,黑龙江,基准站,124.11666666666666,50.4,371.7,31,1,1,1966-07-01,2018-12-31,1966-07-01,2018-12-31,19177,19177
50445,鄂伦春自治旗,内蒙古,一般站,123.73333333333333,50.583333333333336,423.7,33,2,2,1964-01-01,2018-12-31,1960-01-01,2018-12-31,21550,20089
50468,爱辉,黑龙江,基本站,127.45,50.25,166.4,35,3,2,1981-11-01,2017-05-31,1959-01-01,2018-12-31,21915,12996
50514,满洲里,内蒙古,基准站,117.43333333333334,49.56666666666667,661.7,39,4,3,1984-05-01,2009-12-31,1956-12-01,2018-12-31,22676,9376
50524,陈巴尔虎旗,内蒙古,一般站,119.43333333333334,49.31666666666667,576.6,42,2,2,1964-01-01,2018-12-31,1959-01-01,2018-12-31,21915,20089
50525,鄂温克族自治旗,内蒙古,一般站,119.75,49.15,620.8,46,4,4,1985-06-01,2018-12-31,1959-01-01,2018-12-31,21915,12267
50526,牙克石市,内蒙古,一般站,120.7,49.28333333333333,668.8,50,4,4,1982-01-01,2018-12-31,1957-01-01,2018-12-31,22645,13514
50527,海拉尔,内蒙古,基准站,119.75,49.21666666666667,610.2,55,5,4,1984-03-01,2010-12-31,1951-01-01,2018-12-31,24837,9802
50548,小二沟,内蒙古,基本站,123.71666666666667,49.2,286.1,59,3,3,1988-03-01,2018-12-31,1957-01-01,2018-12-31,22645,11263
50557,嫩江,黑龙江,基本站,125.23333333333333,49.166666666666664,242.2,61,3,2,1972-07-01,2017-09-30,1951-01-01,2018-12-31,24837,16528
50564,孙吴,黑龙江,基准站,127.35,49.43333333333333,234.5,64,4,2,1959-06-01,2017-08-31,1954-01-01,2018-12-31,23741,21277
50566,逊克,黑龙江,一般站,128.46666666666667,49.583333333333336,111.9,70,7,3,1981-10-01,2000-09-30,1959-09-01,2018-12-31,21672,6940
50603,新巴尔虎右旗,内蒙古,基本站,116.81666666666666,48.666666666666664,554.2,76,3,2,1964-01-01,2014-12-31,1957-10-01,2018-12-31,22372,18628
50618,新巴尔虎左旗,内蒙古,基本站,118.26666666666667,48.21666666666667,642.0,78,1,1,1958-11-01,2018-12-31,1958-11-01,2018-12-31,21976,21976
50632,博克图,内蒙古,基准站,121.91666666666667,48.766666666666666,739.7,81,2,2,1984-02-01,2018-12-31,1951-01-01,2018-12-31,24837,12753
50639,扎兰屯,内蒙古,基本站,122.73333333333333,48.0,306.5,84,3,3,1958-10-01,2018-12-31,1952-02-01,2018-12-31,24441,22007
50645,莫力达瓦达斡尔族自治旗,内蒙古,一般站,124.48333333333333,48.46666666666667,192.0,86,3,2,1974-07-01,2003-12-31,1958-12-01,2018-12-31,21946,10776
50646,讷河,黑龙江,一般站,124.85,48.483333333333334,202.8,89,3,2,1966-01-01,2017-08-31,1961-01-01,2018-12-31,21184,18871
50647,阿荣旗,内蒙古,一般站,123.48333333333333,48.11666666666667,218.2,91,3,1,1956-12-01,2000-10-31,1956-12-01,2018-12-31,22676,16041
50655,五大连池,黑龙江,一般站,126.18333333333334,48.5,271.8,95,3,2,1977-09-01,2007-12-31,1966-08-01,2018-12-31,19146,11079
50656,北安,黑龙江,基本站,126.51666666666667,48.28333333333333,269.7,98,5,2,1963-10-01,2011-12-31,1958-09-01,2018-12-31,22037,17624
50658,克山,黑龙江,基本站,125.88333333333334,48.05,236.9,103,5,2,1956-01-01,1988-12-31,1951-01-01,2018-12-31,24837,12054
50659,克东,黑龙江,一般站,126.25,48.03333333333333,294.0,109,5,3,1966-01-01,2006-10-31,1959-01-01,2018-12-31,21915,14914
50673,嘉荫,黑龙江,一般站,130.4,48.88333333333333,90.4,115,6,4,1975-08-01,2017-10-31,1958-10-01,2018-12-31,22007,15433
50674,乌伊岭,黑龙江,基准站,129.43333333333334,48.56666666666667,404.5,118,1,1,1974-01-01,2018-12-31,1974-01-01,2018-12-31,16436,16436
50727,阿尔山,内蒙古,基本站,119.95,47.166666666666664,1026.5,121,6,3,1964-01-01,1982-06-30,1952-06-01,2018-12-31,24320,6756
50739,龙江,黑龙江,基本站,123.18333333333334,47.333333333333336,190.0,126,3,2,1968-01-01,2014-12-31,1958-01-01,2018-12-31,22280,17167
50741,甘南,黑龙江,一般站,123.5,47.93333333333333,185.2,128,1,1,1954-11-01,2018-12-31,1954-11-01,2018-12-31,23437,23437
50742,富裕,黑龙江,基准站,124.48333333333333,47.8,162.7,135,6,6,1993-11-01,2018-12-31,1956-10-01,2018-12-31,22737,9192
50745,齐齐哈尔,黑龙江,基本站,123.91666666666667,47.38333333333333,145.9,138,5,3,1964-01-01,2001-12-31,1951-01-01,2018-12-31,24837,13880
50749,林甸,黑龙江,一般站,124.83333333333333,47.18333333333333,154.0,144,5,4,1966-01-01,1999-01-31,1956-12-01,2018-12-31,22676,12084
50750,依安,黑龙江,一般站,125.3,47.9,218.4,153,9,8,1990-05-01,2006-10-31,1956-12-01,2018-12-31,22676,6028
50755,拜泉,黑龙江,一般站,126.1,47.6,230.7,157,4,3,1974-06-01,2014-06-30,1956-12-01,2018-12-31,22676,14640
50756,海伦,黑龙江,基准站,126.96666666666667,47.43333333333333,239.2,161,5,3,1980-01-01,2010-08-31,1952-07-01,2018-12-31,24290,11201
50758,明水,黑龙江,基本站,125.9,47.166666666666664,249.2,166,7,2,1956-01-01,2000-12-31,1953-01-01,2018-12-31,24106,16437
50767,绥棱,黑龙江,一般站,127.1,47.233333333333334,202.7,172,1,1,1961-01-01,2018-12-31,1961-01-01,2018-12-31,21184,21184
50772,五营,黑龙江,一般站,129.25,48.11666666666667,296.5,176,6,4,1971-01-01,2003-12-31,1957-10-01,2018-12-31,22372,12053
50774,伊春,黑龙江,基本站,128.9,47.71666666666667,231.3,181,5,3,1962-05-01,1988-12-31,1955-10-01,2018-12-31,23103,9742
50775,鹤岗,黑龙江,一般站,130.33333333333334,47.36666666666667,227.9,184,3,1,1955-11-01,2003-12-31,1955-11-01,2018-12-31,23072,17593
50776,萝北,黑龙江,一般站,130.83333333333334,47.56666666666667,83.3,189,3,3,1982-07-01,2018-12-31,1956-12-01,2018-12-31,22676,13333
50778,同江,黑龙江,基准站,132.5,47.65,53.6,190,3,1,1967-01-01,1997-06-30,1967-01-01,2018-12-31,18993,11139
50779,抚远,黑龙江,一般站,134.28333333333333,48.36666666666667,66.6,194,4,2,1983-10-01,2002-12-31,1968-01-01,2018-12-31,18628,7032
50787,绥滨,黑龙江,一般站,131.85,47.28333333333333,61.8,199,4,3,1970-03-01,2013-12-31,1956-12-01,2018-12-31,22676,16012
50788,富锦,黑龙江,基本站,131.98333333333332,47.233333333333334,64.2,204,5,3,1969-10-01,1998-12-31,1952-08-01,2018-12-31,24259,10684
50832,胡尔勒,内蒙古,一般站,122.08333333333333,46.71666666666667,332.6,208,2,2,1964-01-01,2018-12-31,1961-01-01,2018-12-31,21184,20089
50833,扎赉特旗,内蒙古,一般站,122.9,46.71666666666667,187.8,209,1,1,1958-12-01,2018-12-31,1958-12-01,2018-12-31,21946,21946
50834,索伦,内蒙古,基准站,121.21666666666667,46.6,499.7,215,6,6,1991-01-01,2018-12-31,1957-12-01,2018-12-31,22311,10227
50838,乌兰浩特,内蒙古,基本站,122.05,46.083333333333336,274.7,218,3,3,1964-01-01,2018-12-31,1951-01-01,2018-12-31,24837,20089
50842,杜蒙,黑龙江,一般站,124.43333333333334,46.86666666666667,151.0,222,4,3,1981-07-01,2003-04-30,1959-01-01,2018-12-31,21915,7974
50844,泰来,黑龙江,基本站,123.41666666666667,46.4,149.5,226,4,3,1981-04-01,2009-12-31,1958-01-01,2018-12-31,22280,10502
50850,大庆,黑龙江,一般站,125.13333333333334,46.56666666666667,147.2,228,1,1,2005-01-01,2018-12-31,2005-01-01,2018-12-31,5113,5113
50851,青冈,黑龙江,一般站,126.1,46.68333333333333,204.8,232,5,4,1975-01-01,2007-05-31,1956-12-01,2018-12-31,22676,11839
